fundname,fundid,fundtype,fundcompany,fundsize,todayestnav,yestnav,accumnav,todayrate,weekrate,monthrate,threemonthrate,sixmonthrate,fromthisyearrate,yearrate,twoyearrate,threeyearrate,industry1,industry1ratio,industry2,industry2ratio,category,date
长安沪深300非周期,740101,股票指数,长安基金,0.79亿,1.1565,1.1660,1.6700,-0.81,1.04,5.05,2.91,7.96,2.01,16.14,43.27,22.72,制造业,64.82%,信息传输、软件和信息技术服务业,7.29%,净值型,2018-03-16
安信消费医药股票,000974,股票型,安信基金,26.23亿,1.5976,1.6080,1.6080,-0.65,0.00,5.58,5.10,13.80,3.08,29.78,74.97,0,制造业,61.77%,金融业,7.28%,净值型,2018-03-16
财通价值动量,720001,混合型,财通基金,10.69亿,1.7271,1.7440,2.2150,-0.97,0.98,-0.17,-2.57,-0.97,-3.54,7.17,18.60,20.48,制造业,54.17%,房地产业,12.53%,净值型,2018-03-16
方正富邦红利精选混合,730002,混合型,方正富邦基金,2.21亿,1.3110,1.3210,1.5910,-0.75,1.38,3.85,6.96,12.33,4.18,26.05,51.40,27.34,制造业,72.58%,金融业,8.29%,净值型,2018-03-16
财通收益增强债券A,720003,债券型,财通基金,0.35亿,1.2259,1.2286,1.2286,-0.22,-0.16,-0.74,-0.25,-1.80,-0.51,-1.63,-0.20,7.49,制造业,14.13%,金融业,1.91%,净值型,2018-03-16
财通多策略稳健增长债券A,720002,债券型,财通基金,0.36亿,0.9529,0.9547,1.2138,-0.19,-0.13,-0.71,-0.02,-0.65,-0.18,-2.28,-0.96,0.96,制造业,15.06%,金融业,2.01%,净值型,2018-03-16
方正富邦创新动力混合,730001,混合型,方正富邦基金,0.17亿,1.1873,1.1950,1.9450,-0.65,0.67,2.49,0.42,1.79,-1.89,0.34,-1.97,10.88,制造业,42.94%,交通运输、仓储和邮政业,15.29%,净值型,2018-03-16
富安达策略精选混合,710002,混合型,富安达基金,1.95亿,2.6035,2.6121,2.6521,-0.33,-0.53,1.50,6.56,10.92,3.82,27.13,50.64,64.12,制造业,30.51%,金融业,23.89%,净值型,2018-03-16
富安达增强收益债券C,710302,债券型,富安达基金,0.26亿,1.0961,1.0990,1.1190,-0.26,0.50,2.59,0.52,-10.45,1.63,-4.44,-6.94,-15.70,制造业,19.30%,信息传输、软件和信息技术服务业,0.94%,净值型,2018-03-16
华泰柏瑞稳健收益债券C,460108,债券型,华泰柏瑞基金,0.38亿,1.2962,1.2960,1.2960,0.02,0.15,0.70,1.25,3.51,1.25,4.26,2.69,11.82,,,,,净值型,2018-03-16
金鹰技术领先灵活配置混合C,002196,混合型,金鹰基金,0.29亿,0.9888,0.9990,0.9990,-1.02,0.00,-2.15,1.01,-10.56,0.10,-14.47,0,0,制造业,53.90%,金融业,24.16%,净值型,2018-03-16
银华盛世精选灵活配置混合发起式,003940,混合型,银华基金,27.97亿,1.3848,1.4000,1.5243,-1.09,2.74,8.81,5.40,13.85,5.62,36.79,0,0,制造业,73.10%,金融业,8.91%,净值型,2018-03-16
富安达优势成长混合,710001,混合型,富安达基金,18.06亿,2.1903,2.2114,2.2114,-0.95,0.85,9.50,-1.86,8.24,-1.52,20.86,40.11,39.34,制造业,83.59%,信息传输、软件和信息技术服务业,4.27%,净值型,2018-03-16
华泰柏瑞中小盘联接,460220,联接基金,华泰柏瑞基金,0.63亿,1.1102,1.1162,1.1162,-0.54,0.46,5.48,0.42,-1.35,-0.13,4.94,16.27,-1.66,制造业,1.61%,金融业,0.25%,净值型,2018-03-16
富安达增强收益债券A,710301,债券型,富安达基金,0.21亿,1.1238,1.1253,1.1453,-0.13,0.51,2.62,0.62,-10.28,1.70,-4.06,-6.16,-14.63,制造业,19.30%,信息传输、软件和信息技术服务业,0.94%,净值型,2018-03-16
平安大华添利债券C,700006,债券型,平安大华基金,0.30亿,1.3862,1.3860,1.3860,0.01,0.07,0.36,1.17,1.32,1.09,2.29,1.09,14.36,金融业,4.93%,,,净值型,2018-03-16
平安大华深证300,700002,股票指数,平安大华基金,0.72亿,1.7725,1.7880,1.8680,-0.87,1.07,4.99,2.88,6.43,1.48,14.54,34.44,23.14,制造业,59.35%,信息传输、软件和信息技术服务业,8.72%,净值型,2018-03-16
中证财通可持续发展100指数A,000042,股票指数,财通基金,1.00亿,1.7432,1.7566,1.7566,-0.76,-0.10,1.43,2.48,4.84,1.08,17.73,34.71,19.42,制造业,39.29%,金融业,18.42%,净值型,2018-03-16
平安大华添利债券A,700005,债券型,平安大华基金,16.43亿,1.4192,1.4190,1.4190,0.01,0.07,0.42,1.21,1.50,1.14,2.75,2.01,15.84,金融业,4.93%,,,净值型,2018-03-16
平安大华行业先锋混合,700001,混合型,平安大华基金,2.82亿,1.1336,1.1450,1.4250,-0.99,0.53,6.71,1.33,1.15,-2.05,-1.89,1.69,-15.44,制造业,51.97%,批发和零售业,9.31%,净值型,2018-03-16
平安大华策略先锋混合,700003,混合型,平安大华基金,1.00亿,1.7394,1.7510,1.8510,-0.66,0.86,3.79,-2.67,-1.74,-4.21,4.29,5.61,9.51,制造业,35.37%,交通运输、仓储和邮政业,6.15%,净值型,2018-03-16
民生加银积极成长混合,690011,混合型,民生加银基金,0.50亿,1.3853,1.3920,1.3920,-0.48,1.09,2.96,1.61,3.65,0.36,7.08,27.12,10.21,制造业,54.29%,金融业,16.19%,净值型,2018-03-16
民生信用双利债券C,690206,债券型,民生加银基金,2.43亿,1.5161,1.5180,1.5480,-0.13,0.26,2.22,-0.20,-2.13,0.26,-1.04,1.74,6.38,制造业,8.80%,金融业,3.72%,净值型,2018-03-16
民生加银景气行业混合,690007,混合型,民生加银基金,11.39亿,2.3210,2.3440,2.3440,-0.98,0.73,8.07,-1.68,-1.92,-1.26,11.25,46.50,51.62,制造业,54.92%,信息传输、软件和信息技术服务业,23.47%,净值型,2018-03-16
民生加银新战略混合,001352,混合型,民生加银基金,2.16亿,1.1677,1.1700,1.1700,-0.19,0.26,1.47,1.92,6.75,1.83,10.90,21.50,0,制造业,16.98%,房地产业,4.94%,净值型,2018-03-16
民生加银红利回报,690009,混合型,民生加银基金,1.18亿,1.9036,1.9190,2.2170,-0.80,0.79,1.97,2.84,7.21,1.43,13.15,28.19,59.40,制造业,45.65%,金融业,8.05%,净值型,2018-03-16
民生中证资源指数,690008,股票指数,民生加银基金,1.45亿,0.8212,0.8330,0.8330,-1.42,1.96,4.39,6.11,-6.09,0.73,15.21,34.79,5.85,采矿业,47.75%,制造业,44.34%,净值型,2018-03-16
民生加银内需增长混合,690005,混合型,民生加银基金,2.31亿,1.7990,1.8100,1.8100,-0.61,0.78,2.43,2.55,13.27,1.80,23.13,49.22,43.54,制造业,72.96%,金融业,6.72%,净值型,2018-03-16
民生加银稳健成长混合,690004,混合型,民生加银基金,0.72亿,1.6571,1.6660,1.6660,-0.53,-0.06,6.86,5.78,11.29,4.06,23.68,43.87,43.62,制造业,60.25%,批发和零售业,14.96%,净值型,2018-03-16
民生加银城镇化混合,000408,混合型,民生加银基金,3.25亿,1.5481,1.5620,2.4570,-0.89,0.71,2.16,2.29,12.21,1.63,17.53,39.71,101.34,制造业,73.61%,金融业,6.85%,净值型,2018-03-16
民生加银精选混合,690003,混合型,民生加银基金,1.66亿,1.3106,1.3240,1.3240,-1.01,2.56,7.99,6.95,11.26,6.35,18.32,31.87,30.32,制造业,39.33%,信息传输、软件和信息技术服务业,12.02%,净值型,2018-03-16
民生增强债券C,690202,债券型,民生加银基金,1.61亿,1.8003,1.8030,1.9330,-0.15,0.06,1.69,-0.50,-2.75,-0.39,-2.59,0.11,8.09,制造业,9.56%,金融业,5.83%,净值型,2018-03-16
民生信用双利债券A,690006,债券型,民生加银基金,17.32亿,1.5542,1.5560,1.5860,-0.11,0.26,2.23,-0.06,-1.89,0.39,-0.64,2.57,7.61,制造业,8.80%,金融业,3.72%,净值型,2018-03-16
民生蓝筹,690001,混合型,民生加银基金,1.64亿,2.0946,2.1070,2.1370,-0.59,0.52,3.54,1.84,5.61,1.15,14.89,32.10,62.45,制造业,63.42%,批发和零售业,3.22%,净值型,2018-03-16
民生增强债券A,690002,债券型,民生加银基金,14.93亿,1.8652,1.8680,1.9980,-0.15,0.05,1.74,-0.43,-2.61,-0.32,-2.25,0.86,9.30,制造业,9.56%,金融业,5.83%,净值型,2018-03-16
浙商聚潮产业成长混合,688888,混合型,浙商基金,9.56亿,1.2032,1.2100,1.5110,-0.56,0.25,4.94,0.33,-4.04,0.00,-8.37,9.45,37.12,制造业,21.59%,金融业,18.95%,净值型,2018-03-16
浙商聚盈纯债C,686869,债券型,浙商基金,0.01亿,1.0262,1.0260,1.2050,0.02,0.10,0.39,1.46,1.96,1.36,3.26,3.31,2.35,,,,,净值型,2018-03-16
西部利得汇享债券C,675113,债券型,西部利得基金,0.47亿,1.0383,1.0381,1.0381,0.02,0.14,0.88,1.99,2.52,1.80,3.80,0,0,,,,,净值型,2018-03-16
西部汇逸债券C,675123,债券型,西部利得基金,0.00亿,1.0484,1.0482,1.0482,0.02,0.17,0.52,1.34,1.31,1.10,4.91,0,0,,,,,净值型,2018-03-16
西部利得祥逸债券C,675093,债券型,西部利得基金,0.60亿,0.9980,0.9979,0.9979,0.01,0.07,0.28,1.08,1.24,1.03,-0.26,0,0,,,,,净值型,2018-03-16
西部利得祥逸债券A,675091,债券型,西部利得基金,0.00亿,1.0659,1.0657,1.0657,0.02,0.19,3.07,4.21,5.04,4.15,6.52,0,0,,,,,净值型,2018-03-16
西部利得得尊债券,675100,债券型,西部利得基金,0.60亿,1.0373,1.0372,1.0372,0.01,0.08,0.23,1.08,0.96,0.99,3.67,0,0,,,,,净值型,2018-03-16
浙商聚盈纯债A,686868,债券型,浙商基金,19.86亿,1.0263,1.0260,1.2290,0.02,0.10,0.38,1.46,2.05,1.46,3.56,4.17,3.38,,,,,净值型,2018-03-16
西部汇逸债券A,675121,债券型,西部利得基金,19.66亿,0.9942,0.9940,0.9940,0.02,0.17,0.52,1.37,1.36,1.11,0.53,0,0,,,,,净值型,2018-03-16
西部利得汇享债券A,675111,债券型,西部利得基金,0.04亿,1.0409,1.0407,1.0407,0.02,0.14,0.89,2.01,2.61,1.82,4.06,0,0,,,,,净值型,2018-03-16
西部利得祥盈债券A,675081,债券型,西部利得基金,0.00亿,1.0322,1.0320,1.0320,0.02,-0.06,0.75,0.81,1.19,0.65,4.04,0,0,制造业,1.60%,文化、体育和娱乐业,0.63%,净值型,2018-03-16
西部利得合赢债券C,675053,债券型,西部利得基金,5.32亿,1.0070,1.0069,1.0482,0.01,0.14,0.45,1.37,2.13,1.23,4.11,0,0,,,,,净值型,2018-03-16
西部利得祥盈债券C,675083,债券型,西部利得基金,0.50亿,1.0100,1.0098,1.0098,0.02,-0.12,0.69,0.70,1.03,0.55,2.04,0,0,制造业,1.60%,文化、体育和娱乐业,0.63%,净值型,2018-03-16
西部利得合赢债券A,675051,债券型,西部利得基金,0.00亿,1.0511,1.0510,1.0510,0.01,0.13,0.45,1.38,2.16,1.23,4.22,0,0,,,,,净值型,2018-03-16
西部利得合享C,675043,债券型,西部利得基金,4.96亿,1.1702,1.1700,1.1700,0.01,0.09,0.46,1.24,1.87,1.13,16.15,0,0,,,,,净值型,2018-03-16
西部利得稳健双利债券A,675011,债券型,西部利得基金,2.30亿,1.1294,1.1310,1.1310,-0.14,0.27,0.62,1.34,2.72,0.89,4.53,6.70,4.34,制造业,9.55%,农、林、牧、渔业,0.20%,净值型,2018-03-16
西部利得稳健双利债券C,675013,债券型,西部利得基金,0.03亿,1.1012,1.1030,1.1030,-0.17,0.27,0.46,1.10,2.32,0.64,3.86,5.65,2.89,制造业,9.55%,农、林、牧、渔业,0.20%,净值型,2018-03-16
西部利得合享A,675041,债券型,西部利得基金,33.16亿,1.0204,1.0203,1.0439,0.01,0.09,0.46,1.24,1.85,1.14,3.68,0,0,,,,,净值型,2018-03-16
西部利得久安回报混合,673100,混合型,西部利得基金,0.08亿,1.1385,1.1403,1.2603,-0.16,-0.08,4.08,3.70,10.26,-1.25,0,0,0,制造业,10.94%,信息传输、软件和信息技术服务业,8.14%,净值型,2018-03-16
西部利得新润混合,673110,混合型,西部利得基金,1.67亿,1.0078,1.0080,1.0080,-0.02,0.10,2.23,0.60,0.50,0.40,0,0,0,制造业,7.58%,信息传输、软件和信息技术服务业,1.99%,净值型,2018-03-16
西部利得祥运混合C,673083,混合型,西部利得基金,2.30亿,1.0638,1.0662,1.0662,-0.23,0.20,0.58,1.22,3.02,0.57,5.55,0,0,制造业,13.22%,金融业,2.00%,净值型,2018-03-16
西部利得祥运混合A,673081,混合型,西部利得基金,2.13亿,1.0707,1.0731,1.0731,-0.22,0.21,0.62,1.34,3.28,0.68,6.09,0,0,制造业,13.22%,金融业,2.00%,净值型,2018-03-16
西部利得个股精选股票,673090,股票型,西部利得基金,2.84亿,1.0826,1.0877,1.2097,-0.47,1.03,5.24,6.48,8.12,4.91,18.87,0,0,制造业,48.77%,金融业,17.16%,净值型,2018-03-16
西部利得景瑞灵活配置混合,673060,混合型,西部利得基金,0.54亿,0.9605,0.9620,0.9620,-0.15,0.10,0.63,-0.62,-3.02,-0.52,-3.22,0,0,制造业,20.24%,信息传输、软件和信息技术服务业,0.01%,净值型,2018-03-16
西部利得新富混合,673120,混合型,西部利得基金,1.95亿,1.0406,1.0410,1.0410,-0.04,0.19,0.58,0.97,3.38,0.10,0,0,0,制造业,18.80%,农、林、牧、渔业,0.41%,净值型,2018-03-16
西部利得新动力混合C,673073,混合型,西部利得基金,2.63亿,1.0578,1.0592,1.0592,-0.13,0.15,0.50,1.02,2.59,0.47,5.08,0,0,制造业,11.46%,金融业,1.44%,净值型,2018-03-16
西部利得新动力混合A,673071,混合型,西部利得基金,2.81亿,1.0643,1.0657,1.2787,-0.13,0.15,0.52,1.07,2.70,0.52,5.31,0,0,制造业,11.46%,金融业,1.44%,净值型,2018-03-16
西部利得新盈混合,673050,混合型,西部利得基金,0.51亿,1.0424,1.0430,1.0430,-0.06,0.00,0.19,0.68,1.07,0.48,1.96,4.09,0,制造业,0.37%,科学研究和技术服务业,0.17%,净值型,2018-03-16
西部利得行业主题优选混合A,673040,混合型,西部利得基金,0.08亿,1.0937,1.0950,1.0950,-0.11,1.01,1.77,0.27,2.05,0.27,3.60,9.50,0,制造业,4.69%,批发和零售业,2.39%,净值型,2018-03-16
西部利得行业主题优选混合C,673043,混合型,西部利得基金,2.28亿,1.0066,1.0080,1.0840,-0.14,1.10,1.82,0.30,2.10,0.30,3.46,0,0,制造业,4.69%,批发和零售业,2.39%,净值型,2018-03-16
西部利得成长精选混合,673020,混合型,西部利得基金,2.91亿,1.0872,1.0900,1.0900,-0.26,0.37,2.06,3.12,5.72,1.96,13.07,9.99,0,制造业,26.52%,金融业,5.11%,净值型,2018-03-16
西部利得多策略优选混合,673030,混合型,西部利得基金,3.80亿,1.1547,1.1570,1.1570,-0.20,0.35,1.76,2.57,4.52,1.67,10.93,15.93,0,制造业,19.30%,金融业,4.08%,净值型,2018-03-16
西部利得新动向混合,673010,混合型,西部利得基金,2.55亿,1.0045,1.0130,1.5480,-0.84,1.50,6.63,-2.13,-0.78,-2.22,3.26,7.08,15.32,制造业,50.18%,信息传输、软件和信息技术服务业,4.24%,净值型,2018-03-16
西部利得策略优选混合,671010,混合型,西部利得基金,2.43亿,0.8747,0.8780,0.8780,-0.38,-0.34,4.90,-1.35,-4.25,-1.35,1.97,7.47,-16.06,制造业,30.64%,金融业,8.85%,净值型,2018-03-16
农银增强收益债券C,660109,债券型,农银汇理基金,0.20亿,1.4352,1.4350,1.5060,0.02,0.16,0.46,1.11,0.60,1.28,2.03,3.20,11.53,采矿业,0.99%,金融业,0.23%,净值型,2018-03-16
农银汇理信用添利债券,660013,债券型,农银汇理基金,0.45亿,1.0695,1.0693,1.3598,0.02,0.19,0.31,1.23,1.58,1.09,2.18,3.61,13.40,金融业,4.11%,,,净值型,2018-03-16
农银恒久增利债券C,660102,债券型,农银汇理基金,0.24亿,1.2419,1.2416,1.5291,0.02,0.06,0.40,1.17,1.28,1.27,3.09,3.38,11.56,金融业,8.39%,,,净值型,2018-03-16
